,train,val,test
91647,True,False,False
91669,True,False,False
91671,True,False,False
91673,True,False,False
91675,True,False,False
91677,True,False,False
91679,True,False,False
91681,True,False,False
91698,True,False,False
91651,True,False,False
91702,True,False,False
91706,True,False,False
91710,True,False,False
91712,True,False,False
91714,True,False,False
91716,True,False,False
91718,True,False,False
91720,True,False,False
91653,True,False,False
91724,True,False,False
91726,True,False,False
91728,True,False,False
91730,True,False,False
91732,True,False,False
91736,True,False,False
91738,True,False,False
91740,True,False,False
91742,True,False,False
91657,True,False,False
91744,True,False,False
91746,True,False,False
91748,True,False,False
H15-01861 1H PAS,True,False,False
H15-04993 1L PAS,True,False,False
H15-14833 1E PAS,True,False,False
H19-04732 1B1 PAS,True,False,False
H19-12283 1E1 PAS,True,False,False
91661,True,False,False
91663,True,False,False
91665,True,False,False
91667,True,False,False
S-2002-005611_PAS_2of2,True,False,False
S-2006-005047_PAS_1of2,True,False,False
S-2106-003587_PAS_2of2,True,False,False
S-1905-018638_PAS_1of2,True,False,False
S-1908-000846_PAS_1of2,True,False,False
S-1905-018685_PAS_1of2,True,False,False
S-2101-000794_PAS_2of2,True,False,False
S-1905-017737_PAS_2of2,True,False,False
S-2002-007555_PAS_1of2,True,False,False
S-2106-003540_PAS_2of2,True,False,False
S-1909-007196_PAS_1of2,True,False,False
S-1910-000089_PAS_2of2,True,False,False
S-2001-005403_PAS_2of2,True,False,False
S-2006-002045_PAS_1of2,True,False,False
S-1908-000614_PAS_1of3,True,False,False
S-2006-002185_PAS_2of2,True,False,False
S-2006-002139_PAS_1of2,True,False,False
S-2105-008096_PAS_2of2,True,False,False
S-1910-000042_PAS_2of2,True,False,False
S-2006-005094_PAS_1of2,True,False,False
S-2006-002138_PAS_2of2,True,False,False
S-2103-004716_PAS_2of2,True,False,False
S-2102-006504_PAS_2of2,True,False,False
S-2101-000935_PAS_2of2,True,False,False
S-2001-005356_PAS_2of2,True,False,False
S-2010-004230_PAS_2of2,True,False,False
S-2002-007602_PAS_1of2,True,False,False
S-1909-007243_PAS_1of2,True,False,False
S-2001-019413_PAS_1of2,True,False,False
S-1905-017549_PAS_2of2,True,False,False
